"domain","condition","acute_chronic","code_type","code","icd_family","source_note"
"hepatologic","abnormal_liver_function","acute_or_chronic","","","",""
"hepatologic","toxic_liver_disease","acute_or_chronic","","","",""
"hepatologic","hepatic_failure","acute_or_chronic","","","",""
"hepatologic","chronic_hepatitis","chronic","","","",""
"hepatologic","acute_hepatitis","acute","","","",""
"hepatologic","fibrosis_and_cirrhosis","chronic","","","",""
"hepatologic","non_alcoholic_steatohepatitis","chronic","","","",""
"renal","acute_kidney_injury_or_acute_kidney_disease","acute","","","",""
"renal","chronic_kidney_disease","chronic","","","",""
"renal","moderate_to_severe_renal_impairment_or_esrd","chronic","","","",""
"ocular","corneal_ulcer","acute","","","",""
"ocular","keratopathies","acute","","","",""
"cardiovascular","myocardial_infarction_or_unstable_angina","acute","","","",""
"cardiovascular","valvopathy","chronic","","","",""
"cardiovascular","pulmonary_hypertension","chronic","","","",""
"cardiovascular","cerebrovascular_event_stroke_or_tia","acute","","","",""
"cardiovascular","peripheral_arterial_thromboembolism","acute","","","",""
"cardiovascular","deep_venous_thrombosis_or_pulmonary_embolism","acute","","","",""
"neurologic","peripheral_neuropathy","chronic","","","",""
"neurologic","parkinsons_disease","chronic","","","",""
"neurologic","cognitive_impairment_or_dementia","chronic","","","",""
"neurologic","other_movement_disorders","chronic","","","",""
"neurologic","seizures","chronic","","","",""
"infectious","severe_infection_with_hospitalisation","acute","","","",""
"other","thrombocytopenia","chronic","","","",""
"other","anemia","chronic","","","",""
