condition,weight,supersedes,code_type,code,icd_family
myocardial_infarction,0,,,,
congestive_heart_failure,2,,,,
peripheral_vascular_disease,0,,,,
cerebrovascular_disease,0,,,,
dementia,2,,,,
chronic_pulmonary_disease,1,,,,
rheumatologic_disease,1,,,,
peptic_ulcer_disease,0,,,,
mild_liver_disease,2,,,,
severe_liver_disease,4,mild_liver_disease,,,
diabetes_without_complication,0,,,,
diabetes_with_complication,1,diabetes_without_complication,,,
hemiplegia_or_paraplegia,2,,,,
renal_disease,1,,,,
any_malignancy,2,,,,
metastatic_solid_tumour,6,any_malignancy,,,
aids_hiv,4,,,,
