MODULE,TABLE,RELEASED,SWITCH
attrition,S_ATTRITION,0,
cohorts,S_COHORT,0,
comorbidity,S_COMORBIDITY,0,
comorbidity,S_COMORB_SUBGROUP,0,comorbid_subgroups
comorbidity,S_FRAILTY,0,frailty
demographics,S_DEMOGRAPHICS,0,
eligibility,S_ELIGIBILITY,0,
hcru,S_HCRU_EVENTS,0,
hcru,S_HCRU_RATES,1,
malignancy,S_MALIGNANCY,0,
malignancy,S_MALIGNANCY_DATES,0,
malignancy,S_MALIGNANCY_RATES,1,
malignancy,S_MALIGNANCY_SEQUENCES,1,
patterns,S_PATTERNS,1,
patterns,S_SWITCH,1,
patterns,S_TX_ATTRITION,1,
periods,S_LOT_PERIODS,0,
periods,S_PERIODS,0,
release,S_HCRU_RATES_RELEASE,0,
release,S_MALIGNANCY_RATES_RELEASE,0,
release,S_MALIGNANCY_SEQUENCES_RELEASE,0,
release,S_PATTERNS_RELEASE,0,
release,S_SAFETY_RATES_RELEASE,0,
release,S_SWITCH_RELEASE,0,
release,S_TX_ATTRITION_RELEASE,0,
safety,S_SAFETY_COUNTED,0,
safety,S_SAFETY_EVENTS,0,
safety,S_SAFETY_RATES,1,
soc,S_SOC,0,
spine,S_SPINE,0,
tte,S_TTE,0,
