category,subtype,code_type,code,icd_family
Hematological,leukemia,,,
Hematological,lymphoma,,,
Genitourinary,prostate,,,
Genitourinary,renal_kidney,,,
Genitourinary,bladder_urothelial,,,
Genitourinary,testicular,,,
Genitourinary,other_gu,,,
Gynecological,ovarian,,,
Gynecological,endometrial_uterine,,,
Gynecological,cervical,,,
Gynecological,vulvar,,,
Gynecological,other_gyn,,,
Head and Neck,mucosal_squamous_cell,,,
Head and Neck,nasopharyngeal_carcinoma,,,
Head and Neck,salivary_gland,,,
Head and Neck,other_hn,,,
Gastrointestinal,colorectal,,,
Gastrointestinal,gastric_esophageal,,,
Gastrointestinal,pancreatic_hepatobiliary,,,
Gastrointestinal,other_gi,,,
Thoracic (non-H&N),lung,,,
Thoracic (non-H&N),other_thoracic,,,
Breast cancer,breast,,,
Melanoma,melanoma,,,
Non-melanoma skin cancer,basal_cell_carcinoma,,,
Non-melanoma skin cancer,squamous_cell_carcinoma,,,
Other,other,,,
